职位代码,职位名称,部门名称,职位层级,招录人数,学历,专业要求,考试科目,是否限2026届,年龄,联系电话,备注
100160201021,综合管理岗3,南昌县银三角街道办事处,县（市）区,1,本科及以上学历,研究生专业：金融学（020204），国际贸易学（020206），金融（0251），国际商务（0254），保险（0255），资产评估（0256），设计学（0872），旅游管理（120203），公共管理学（1204），公共管理（1252），旅游管理（1254），设计（1357），设计学（1370），设计学（1403）；本科专业：金融学类（0203），经济与贸易类（0204），公共管理类（1204），旅游管理类（1209），设计学类（1305）,"《申论》（县乡综合管理类）,《行政职业能力测验》",是,年龄38周岁以下（博士研究生43周岁以下）,0791-85712096,
100110201024,综合管理岗1	,江西新建经济开发区管理委员会,县（市）区,1,本科及以上学历,研究生专业：理论经济学（0201），应用经济学（0202），应用统计（0252），国际商务（0254），数字经济（0258），统计学（0270），统计学（0714）；本科专业：经济学类（0201），经济与贸易类（0204）,"《申论》（县乡综合管理类）,《行政职业能力测验》",是,年龄38周岁以下（博士研究生43周岁以下）,0791-83703915,
300030201013,综合管理岗1,萍乡市安源区高坑镇人民政府,乡镇,1,本科及以上学历,研究生专业：应用经济学（0202），国际商务（0254），地质学（0709），计算机科学与技术（0775），智能科学与技术（0788），计算机科学与技术（0812），地质资源与地质工程（0818），软件工程（0835），网络空间安全（0839），电子信息（0854），地质工程（085703），智能科学与技术（0876），智能科学与技术（1405）；本科专业：经济与贸易类（0204），地质学类（0709），计算机类（0809）,"《申论》（县乡综合管理类）,《行政职业能力测验》",否,年龄38周岁以下（博士研究生43周岁以下）,0799-6661597,
300070201027,经济业务岗 ,江西莲花工业园区管理委员会,县（市）区,1,本科及以上学历,研究生专业：理论经济学（0201），应用经济学（0202），应用统计（0252），国际商务（0254），数字经济（0258），统计学（0270），统计学（0714）；本科专业：经济学类（0201），经济与贸易类（0204）,"《申论》（县乡综合管理类）,《行政职业能力测验》",是,年龄38周岁以下（博士研究生43周岁以下）,0799-7229206,
400020101003,综合岗1,九江市农业农村局,设区市,1,研究生,研究生专业：区域经济学（020202），产业经济学（020205），国际贸易学（020206），统计学（020208），统计学（0270），统计学（0714），农林经济管理（1203）,"《申论》（省市综合管理类）,《行政职业能力测验》",是,年龄38周岁以下（博士研究生43周岁以下）,0792-8211580,
400020101007,综合岗2,九江市农业农村局,设区市,1,研究生,研究生专业：区域经济学（020202），产业经济学（020205），国际贸易学（020206），统计学（020208），统计学（0270），统计学（0714），农林经济管理（1203）,"《申论》（省市综合管理类）,《行政职业能力测验》",是,年龄38周岁以下（博士研究生43周岁以下）,0792-8211580,
400020101035,招商引资岗1,九江市商务局,设区市,1,本科及以上学历,研究生专业：理论经济学（0201），应用经济学（0202），应用统计（0252），国际商务（0254），数字经济（0258），统计学（0270），统计学（0714）；本科专业：经济学类（0201），经济与贸易类（0204）,"《申论》（省市综合管理类）,《行政职业能力测验》",否,年龄38周岁以下（博士研究生43周岁以下）,0792-8211580,
400040602045,财务岗,武宁县东林乡人民政府,乡镇,1,本科及以上学历,研究生专业：国民经济学（020201），财政学（020203），金融学（020204），国际贸易学（020206），金融（0251），税务（0253），国际商务（0254），保险（0255），资产评估（0256），会计学（120201），会计（1253），审计（1257）；本科专业：财政学类（0202），金融学类（0203），经济与贸易类（0204），会计学（120203K），财务管理（120204），审计学（120207），资产评估（120208），财务会计教育（120213T），内部审计（120218T）,"《申论》（县乡综合管理类）,《行政职业能力测验》,财经管理专业笔试",否,年龄38周岁以下（博士研究生43周岁以下）,0792-2761125,
400040602016,财务业务岗,武宁县卫生健康委员会,县（市）区,1,本科及以上学历,研究生专业：国民经济学（020201），财政学（020203），金融学（020204），国际贸易学（020206），金融（0251），税务（0253），国际商务（0254），保险（0255），资产评估（0256），会计学（120201），会计（1253），审计（1257）；本科专业：财政学类（0202），金融学类（0203），经济与贸易类（0204），会计学（120203K），财务管理（120204），审计学（120207），资产评估（120208），财务会计教育（120213T），内部审计（120218T）,"《申论》（县乡综合管理类）,《行政职业能力测验》,财经管理专业笔试",是,年龄38周岁以下（博士研究生43周岁以下）,0792-2761125,
400040602036,会计岗,武宁县横路乡人民政府,乡镇,1,本科及以上学历,研究生专业：国民经济学（020201），财政学（020203），金融学（020204），国际贸易学（020206），金融（0251），税务（0253），国际商务（0254），保险（0255），资产评估（0256），会计学（120201），会计（1253），审计（1257）；本科专业：财政学类（0202），金融学类（0203），经济与贸易类（0204），会计学（120203K），财务管理（120204），审计学（120207），资产评估（120208），财务会计教育（120213T），内部审计（120218T）,"《申论》（县乡综合管理类）,《行政职业能力测验》,财经管理专业笔试",是,年龄38周岁以下（博士研究生43周岁以下）,0792-2761125,
400040602044,会计岗,武宁县船滩镇人民政府,乡镇,1,本科及以上学历,研究生专业：国民经济学（020201），财政学（020203），金融学（020204），国际贸易学（020206），金融（0251），税务（0253），国际商务（0254），保险（0255），资产评估（0256），会计学（120201），会计（1253），审计（1257）；本科专业：财政学类（0202），金融学类（0203），经济与贸易类（0204），会计学（120203K），财务管理（120204），审计学（120207），资产评估（120208），财务会计教育（120213T），内部审计（120218T）,"《申论》（县乡综合管理类）,《行政职业能力测验》,财经管理专业笔试",是,年龄38周岁以下（博士研究生43周岁以下）,0792-2761125,
400120201008,综合管理岗,庐山市发展和改革委员会,县（市）区,1,本科及以上学历,研究生专业：理论经济学（0201），应用经济学（0202），金融（0251），应用统计（0252），国际商务（0254），保险（0255），资产评估（0256），数字经济（0258），统计学（0270），统计学（0714）；本科专业：经济学类（0201），金融学类（0203），经济与贸易类（0204）,"《申论》（县乡综合管理类）,《行政职业能力测验》",是,年龄38周岁以下（博士研究生43周岁以下）,0792-2672700,
400100201016,综合管理岗1,湖口县市场监督管理局,县（市）区,1,本科及以上学历,研究生专业：国际贸易学（020206），国际商务（0254）；本科专业：经济与贸易类（0204）,"《申论》（县乡综合管理类）,《行政职业能力测验》",否,年龄38周岁以下（博士研究生43周岁以下）,0792-6331894,
400110201015,市场监管岗2,彭泽县市场监督管理局,县（市）区,1,本科及以上学历,研究生专业：理论经济学（0201），应用经济学（0202），金融（0251），应用统计（0252），国际商务（0254），数字经济（0258），统计学（0270），统计学（0714）；本科专业：经济学类（0201），经济与贸易类（0204）,"《申论》（县乡综合管理类）,《行政职业能力测验》",否,年龄38周岁以下（博士研究生43周岁以下）,0792-5625608,
400050201028,综合管理岗1,瑞昌市南义镇人民政府,乡镇,1,本科及以上学历,研究生专业：理论经济学（0201），应用经济学（0202），应用统计（0252），国际商务（0254），数字经济（0258），统计学（0270），统计学（0714）；本科专业：经济学类（0201），经济与贸易类（0204）,"《申论》（县乡综合管理类）,《行政职业能力测验》",否,年龄38周岁以下（博士研究生43周岁以下）,0792-4226858,
210120201017,经济发展岗,龙南市供销合作社联合社,县（市）区,1,本科及以上学历,研究生专业：理论经济学（0201），应用经济学（0202），应用统计（0252），国际商务（0254），数字经济（0258），统计学（0270），化学（0703），统计学（0714），农药学（078601），作物学（0901），园艺学（0902），植物保护（0904），草学（0909），农业（0951）；本科专业：经济学类（0201），经济与贸易类（0204），植物生产类（0901）,"《申论》（县乡综合管理类）,《行政职业能力测验》",是,年龄38周岁以下（博士研究生43周岁以下）,0797-3512802,
210120201010,经济服务岗,龙南市商务局,县（市）区,1,本科及以上学历,研究生专业：理论经济学（0201），应用经济学（0202），金融（0251），应用统计（0252），国际商务（0254），保险（0255），资产评估（0256），数字经济（0258），统计学（0270），法学（0301），纪检监察学（0308），法律（0351），知识产权（0354），国家安全学（0370），汉语国际教育（045174），国际中文教育（0453），中国语言文学（0501），统计学（0714），国家安全学（0874），国家安全学（1170），国家安全学（1271），国家安全学（1402）；本科专业：经济学类（0201），金融学类（0203），经济与贸易类（0204），法学类（0301），中国语言文学类（0501）,"《申论》（县乡综合管理类）,《行政职业能力测验》",是,年龄38周岁以下（博士研究生43周岁以下）,0797-3512802,
210120201006,产业服务岗,龙南市工业和信息化局,县（市）区,1,本科及以上学历,研究生专业：理论经济学（0201），应用经济学（0202），金融（0251），应用统计（0252），国际商务（0254），保险（0255），资产评估（0256），数字经济（0258），统计学（0270），统计学（0714），集成电路科学与工程（0770），材料科学与工程（0773），电子科学与技术（0774），智能科学与技术（0788），纳米科学与工程（0789），机械工程（0802），光学工程（0803），材料科学与工程（0805），冶金工程（0806），电子科学与技术（0809），信息与通信工程（0810），水声工程（082403），电子信息（0854），机械（0855），材料与化工（0856），集成电路科学与工程（0873），智能科学与技术（0876），纳米科学与工程（0877），工业工程与管理（125603），集成电路科学与工程（1401），智能科学与技术（1405），纳米科学与工程（1406）；本科专业：经济学类（0201），金融学类（0203），经济与贸易类（0204），机械类（0802），材料类（0804），电子信息类（0807），工业工程类（1207）,"《申论》（县乡综合管理类）,《行政职业能力测验》",是,年龄38周岁以下（博士研究生43周岁以下）,0797-3512802,
210060602018,金融业务岗,全南县金融服务中心,县（市）区,1,本科及以上学历,研究生专业：理论经济学（0201），应用经济学（0202），金融（0251），应用统计（0252），国际商务（0254），保险（0255），资产评估（0256），数字经济（0258），统计学（0270），统计学（0714）；本科专业：经济学类（0201），金融学类（0203），经济与贸易类（0204）,"《申论》（县乡综合管理类）,《行政职业能力测验》,财经管理专业笔试",是,年龄38周岁以下（博士研究生43周岁以下）,0797-7169200,
210170201022,综合业务岗,宁都县工业和信息化融合推进中心,县（市）区,1,本科及以上学历,研究生专业：理论经济学（0201），应用经济学（0202），应用统计（0252），国际商务（0254），数字经济（0258），统计学（0270），统计学（0714），集成电路科学与工程（0770），电子科学与技术（0774），光学工程（0803），电子科学与技术（0809），信息与通信工程（0810），水声工程（082403），电子信息（0854），管理科学与工程（0871），集成电路科学与工程（0873），管理科学与工程（1201），工程管理（1256），集成电路科学与工程（1401）；本科专业：经济学类（0201），经济与贸易类（0204），电子信息类（0807），管理科学与工程类（1201）,"《申论》（县乡综合管理类）,《行政职业能力测验》",否,年龄38周岁以下（博士研究生43周岁以下）,0797-6938803,
210070602019,财务管理岗,于都县卫生健康委员会,县（市）区,1,本科及以上学历,研究生专业：理论经济学（0201），应用经济学（0202），金融（0251），应用统计（0252），国际商务（0254），保险（0255），资产评估（0256），数字经济（0258），统计学（0270），统计学（0714）；本科专业：经济学类（0201），金融学类（0203），经济与贸易类（0204）,"《申论》（县乡综合管理类）,《行政职业能力测验》,财经管理专业笔试",否,年龄38周岁以下（博士研究生43周岁以下）,0797-6219996,须在本市艰苦边远地区县乡机关最低服务5年。
210070201022,综合管理岗,于都县市场监督管理局黄麟分局,县（市）区,1,本科及以上学历,研究生专业：国际贸易学（020206），国际商务（0254），资产评估（0256），汉语国际教育（045174），国际中文教育（0453），中国语言文学（0501），材料科学与工程（0773），计算机科学与技术（0775），智能科学与技术（0788），纳米科学与工程（0789），材料科学与工程（0805），冶金工程（0806），计算机科学与技术（0812），软件工程（0835），网络空间安全（0839），电子信息（0854），材料与化工（0856），智能科学与技术（0876），纳米科学与工程（0877），工商管理学（1202），工商管理（1251），会计（1253），审计（1257），智能科学与技术（1405），纳米科学与工程（1406）；本科专业：中国语言文学类（0501），材料类（0804），计算机类（0809）,"《申论》（县乡综合管理类）,《行政职业能力测验》",否,年龄38周岁以下（博士研究生43周岁以下）,0797-6219996,
210090201004,综合管理岗,会昌县发展和改革委员会,县（市）区,1,本科及以上学历,研究生专业：理论经济学（0201），应用经济学（0202），应用统计（0252），国际商务（0254），数字经济（0258），统计学（0270），统计学（0714）；本科专业：经济学类（0201），经济与贸易类（0204），统计学类（0712）,"《申论》（县乡综合管理类）,《行政职业能力测验》",否,年龄38周岁以下（博士研究生43周岁以下）,0797-5637175,须在本市艰苦边远地区县乡机关最低服务5年。
210110201008,综合管理岗,瑞金市发展和改革委员会,县（市）区,1,本科及以上学历,研究生专业：国际贸易学（020206），国际商务（0254），资产评估（0256），新闻传播学（0503），新闻与传播（0552），出版（0553），智能科学与技术（0788），动力工程及工程热物理（0807），土木工程（0814），能源动力（0858），土木工程（085901），市政工程（含给排水等）（085905），智能科学与技术（0876），会计（1253），审计（1257），智能科学与技术（1405）；本科专业：经济与贸易类（0204），新闻传播学类（0503），能源动力类（0805），土木类（0810）,"《申论》（县乡综合管理类）,《行政职业能力测验》",否,年龄38周岁以下（博士研究生43周岁以下）,0797-2557289,须在本市艰苦边远地区县乡机关最低服务5年。
210220602011,财务管理岗,赣州市南康区农业农村局,县（市）区,1,本科及以上学历,研究生专业：财政学（020203），金融学（020204），国际贸易学（020206），金融（0251），税务（0253），国际商务（0254），保险（0255），资产评估（0256），工商管理学（1202），工商管理（1251），会计（1253），审计（1257）；本科专业：财政学类（0202），金融学类（0203），经济与贸易类（0204），工商管理类（1202）,"《申论》（县乡综合管理类）,《行政职业能力测验》,财经管理专业笔试",否,年龄38周岁以下（博士研究生43周岁以下）,0797-6608496,
210220602015,审计业务岗,赣州市南康区审计局,县（市）区,1,本科及以上学历,研究生专业：应用经济学（0202），金融（0251），国际商务（0254），保险（0255），资产评估（0256），统计学（0270），统计学（0714），工商管理学（1202），工商管理（1251），会计（1253），审计（1257）；本科专业：金融学类（0203），经济与贸易类（0204），会计学（120203K），财务管理（120204），审计学（120207），资产评估（120208），财务会计教育（120213T），内部审计（120218T）,"《申论》（县乡综合管理类）,《行政职业能力测验》,财经管理专业笔试",否,年龄38周岁以下（博士研究生43周岁以下）,0797-6608496,
210220201004,综合业务岗,赣州市南康区工业和信息化局,县（市）区,1,本科及以上学历,研究生专业：理论经济学（0201），应用经济学（0202），应用统计（0252），国际商务（0254），数字经济（0258），统计学（0270），统计学（0714）；本科专业：经济学类（0201），经济与贸易类（0204），统计学类（0712）,"《申论》（县乡综合管理类）,《行政职业能力测验》",是,年龄38周岁以下（博士研究生43周岁以下）,0797-6608496,
210220602006,财务管理岗1,赣州市南康区财政局,县（市）区,1,本科及以上学历,研究生专业：财政学（020203），金融学（020204），国际贸易学（020206），金融（0251），税务（0253），国际商务（0254），保险（0255），资产评估（0256），会计学（120201），工商管理（1251），会计（1253），审计（1257）；本科专业：财政学类（0202），金融学类（0203），经济与贸易类（0204），会计学（120203K），财务管理（120204），审计学（120207），资产评估（120208），财务会计教育（120213T），内部审计（120218T）,"《申论》（县乡综合管理类）,《行政职业能力测验》,财经管理专业笔试",是,年龄38周岁以下（博士研究生43周岁以下）,0797-6608496,
210220602007,财务管理岗2,赣州市南康区财政局,县（市）区,1,本科及以上学历,研究生专业：财政学（020203），金融学（020204），国际贸易学（020206），金融（0251），税务（0253），国际商务（0254），保险（0255），资产评估（0256），会计学（120201），工商管理（1251），会计（1253），审计（1257）；本科专业：财政学类（0202），金融学类（0203），经济与贸易类（0204），会计学（120203K），财务管理（120204），审计学（120207），资产评估（120208），财务会计教育（120213T），内部审计（120218T）,"《申论》（县乡综合管理类）,《行政职业能力测验》,财经管理专业笔试",是,年龄38周岁以下（博士研究生43周岁以下）,0797-6608496,
240050201001,执纪执法岗,中共吉安市青原区纪委监委机关,县（市）区,1,本科及以上学历,研究生专业：财政学（020203），国际贸易学（020206），税务（0253），法学（0301），纪检监察学（0308），法律（0351），警务（0353），知识产权（0354），国家安全学（0370），国家安全学（0874），国家安全学（1170），会计学（120201），会计（1253），审计（1257），国家安全学（1271），国家安全学（1402）；本科专业：财政学类（0202），金融审计（020311TK），法学类（0301），会计学（120203K），财务管理（120204），审计学（120207），内部审计（120218T）,"《申论》（县乡综合管理类）,《行政职业能力测验》",是,年龄38周岁以下（博士研究生43周岁以下）,0796-8203077,
240100201039,综合岗4,吉水县乡镇机关,乡镇,4,本科及以上学历,研究生专业：国际贸易学（020206），国际商务（0254），计算机科学与技术（0775），智能科学与技术（0788），计算机科学与技术（0812），土木工程（0814），水利工程（0815），软件工程（0835），网络空间安全（0839），电子信息（0854），土木水利（0859），管理科学与工程（0871），智能科学与技术（0876），农业（0951），管理科学与工程（1201），旅游管理（120203），农林经济管理（1203），旅游管理（1254），工程管理（1256），智能科学与技术（1405）；本科专业：经济与贸易类（0204），计算机类（0809），水利类（0811），管理科学与工程类（1201），农业经济管理类（1203），旅游管理类（1209）,"《申论》（县乡综合管理类）,《行政职业能力测验》",是,年龄38周岁以下（博士研究生43周岁以下）,0796-8689102,文峰镇、八都镇、白沙镇、白水镇各1名；根据总成绩排名从高分到低分依次选岗
240100201011,综合岗,吉水县发展和改革委员会,县（市）区,1,本科及以上学历,研究生专业：理论经济学（0201），应用经济学（0202），应用统计（0252），国际商务（0254），数字经济（0258），统计学（0270），统计学（0714），管理科学与工程（0871），管理科学与工程（1201），工程管理（1256）；本科专业：经济学类（0201），经济与贸易类（0204），管理科学与工程类（1201）,"《申论》（县乡综合管理类）,《行政职业能力测验》",否,年龄38周岁以下（博士研究生43周岁以下）,0796-8689102,
240110201004,综合管理岗2,峡江县工信商务科技局,县（市）区,1,本科及以上学历,研究生专业：理论经济学（0201），应用经济学（0202），金融（0251），应用统计（0252），国际商务（0254），保险（0255），资产评估（0256），数字经济（0258），统计学（0270），统计学（0714）；本科专业：经济学类（0201），金融学类（0203），经济与贸易类（0204），统计学类（0712），电子商务类（1208）,"《申论》（县乡综合管理类）,《行政职业能力测验》",是,年龄38周岁以下（博士研究生43周岁以下）,0796-3672123,
