职位代码,职位名称,部门名称,职位层级,招录人数,学历,专业要求,考试科目,是否限2026届,年龄,联系电话,备注
240080201006,综合管理岗1,新干县发展和改革委员会,县（市）区,1,本科及以上学历,研究生专业：理论经济学（0201），应用经济学（0202），应用统计（0252），国际商务（0254），数字经济（0258），统计学（0270），统计学（0714），管理科学与工程（0871），管理科学与工程（1201），工程管理（1256）；本科专业：经济学类（0201），经济与贸易类（0204），统计学类（0712），管理科学与工程类（1201）,"《申论》（县乡综合管理类）,《行政职业能力测验》",是,年龄38周岁以下（博士研究生43周岁以下）,0796-2160061,
240130201021,综合岗,万安县商务局,县（市）区,1,本科及以上学历,研究生专业：理论经济学（0201），应用经济学（0202），应用统计（0252），国际商务（0254），数字经济（0258），统计学（0270），统计学（0714）；本科专业：经济学类（0201），经济与贸易类（0204），电子商务类（1208）,"《申论》（县乡综合管理类）,《行政职业能力测验》",否,年龄38周岁以下（博士研究生43周岁以下）,0796-5705291,
240130201039,业务岗1,江西万安工业园区管理委员会,县（市）区,1,本科及以上学历,研究生专业：理论经济学（0201），应用经济学（0202），应用统计（0252），国际商务（0254），资产评估（0256），数字经济（0258），统计学（0270），统计学（0714），工商管理学（1202），工商管理（1251），会计（1253），审计（1257）；本科专业：经济学类（0201），经济与贸易类（0204），工商管理类（1202）,"《申论》（县乡综合管理类）,《行政职业能力测验》",否,年龄38周岁以下（博士研究生43周岁以下）,0796-5705291,
240060201026,综合管理岗,井冈山市工业和信息化局,县（市）区,1,本科及以上学历,研究生专业：理论经济学（0201），应用经济学（0202），应用统计（0252），国际商务（0254），数字经济（0258），统计学（0270），统计学（0714），智能科学与技术（0788），机械工程（0802），精密仪器及机械（080401），机械（0855），智能科学与技术（0876），智能科学与技术（1405）；本科专业：经济学类（0201），经济与贸易类（0204），机械类（0802）,"《申论》（县乡综合管理类）,《行政职业能力测验》",否,年龄38周岁以下（博士研究生43周岁以下）,0796-6891703,
240060201039,综合管理岗,井冈山市茅坪镇,乡镇,1,本科及以上学历,研究生专业：应用经济学（0202），国际商务（0254），新闻传播学（0503），新闻与传播（0552），出版（0553），设计学（0872），设计（1357），设计学（1370），设计学（1403）；本科专业：经济与贸易类（0204），新闻传播学类（0503），数字媒体技术（080906），新媒体技术（080912T），数字媒体艺术（130508），新媒体艺术（130511T）,"《申论》（县乡综合管理类）,《行政职业能力测验》",否,年龄38周岁以下（博士研究生43周岁以下）,0796-6891703,
240060201014,综合管理岗1,井冈山市财政局,县（市）区,1,本科及以上学历,研究生专业：应用经济学（0202），金融（0251），应用统计（0252），税务（0253），国际商务（0254），保险（0255），资产评估（0256），统计学（0270），统计学（0714）；本科专业：财政学类（0202），金融学类（0203），经济与贸易类（0204），统计学类（0712）,"《申论》（县乡综合管理类）,《行政职业能力测验》",是,年龄38周岁以下（博士研究生43周岁以下）,0796-6891703,
240060201045,综合管理岗2,井冈山市财政局,县（市）区,1,本科及以上学历,研究生专业：应用经济学（0202），金融（0251），应用统计（0252），税务（0253），国际商务（0254），保险（0255），资产评估（0256），统计学（0270），统计学（0714）；本科专业：财政学类（0202），金融学类（0203），经济与贸易类（0204），统计学类（0712）,"《申论》（县乡综合管理类）,《行政职业能力测验》",是,年龄38周岁以下（博士研究生43周岁以下）,0796-6891703,
220020101061,综合管理岗,宜春市产业与投资促进中心,设区市,1,研究生,研究生专业：国民经济学（020201），区域经济学（020202），产业经济学（020205），国际贸易学（020206），国际商务（0254），经济法学（030107）,"《申论》（省市综合管理类）,《行政职业能力测验》",否,年龄38周岁以下（博士研究生43周岁以下）,0795-3224056,
220030201044,综合管理岗,宜春市袁州区统计局,县（市）区,1,本科及以上学历,研究生专业：金融学（020204），国际贸易学（020206），统计学（020208），金融（0251），应用统计（0252），国际商务（0254），保险（0255），资产评估（0256），统计学（0270），统计学（0714），计算机科学与技术（0775），智能科学与技术（0788），计算机科学与技术（0812），软件工程（0835），网络空间安全（0839），电子信息（0854），智能科学与技术（0876），智能科学与技术（1405）；本科专业：金融学类（0203），经济与贸易类（0204），统计学类（0712），计算机类（0809）,"《申论》（县乡综合管理类）,《行政职业能力测验》",否,年龄38周岁以下（博士研究生43周岁以下）,0795-3227990,
220100201021,综合管理岗1,宜丰县发展和改革委员会,县（市）区,1,本科及以上学历,研究生专业：理论经济学（0201），应用经济学（0202），应用统计（0252），国际商务（0254），数字经济（0258），统计学（0270），汉语国际教育（045174），国际中文教育（0453），中国语言文学（0501），新闻传播学（0503），新闻与传播（0552），出版（0553），统计学（0714），计算机科学与技术（0775），智能科学与技术（0788），计算机科学与技术（0812），软件工程（0835），网络空间安全（0839），电子信息（0854），智能科学与技术（0876），智能科学与技术（1405）；本科专业：经济学类（0201），经济与贸易类（0204），中国语言文学类（0501），新闻传播学类（0503），计算机类（0809）,"《申论》（县乡综合管理类）,《行政职业能力测验》",否,年龄38周岁以下（博士研究生43周岁以下）,0795-2765210,
220060201023,综合岗1,靖安县工信科技商务局,县（市）区,1,本科及以上学历,研究生专业：国际贸易学（020206），国际商务（0254），资产评估（0256），法学（0301），纪检监察学（0308），法律（0351），知识产权（0354），国家安全学（0370），国家安全学（0874），国家安全学（1170），工商管理学（1202），工商管理（1251），会计（1253），审计（1257），国家安全学（1271），国家安全学（1402）；本科专业：经济与贸易类（0204），法学类（0301），工商管理类（1202）,"《申论》（县乡综合管理类）,《行政职业能力测验》",否,年龄38周岁以下（博士研究生43周岁以下）,0795-4662798,
220060201025,综合岗1,靖安县市场监督管理局,县（市）区,1,本科及以上学历,研究生专业：国际贸易学（020206），国际商务（0254），计算机科学与技术（0775），智能科学与技术（0788），计算机科学与技术（0812），软件工程（0835），网络空间安全（0839），电子信息（0854），智能科学与技术（0876），智能科学与技术（1405）；本科专业：经济与贸易类（0204），计算机类（0809）,"《申论》（县乡综合管理类）,《行政职业能力测验》",是,年龄38周岁以下（博士研究生43周岁以下）,0795-4662798,
220080201030,综合管理岗2,高安市工业和信息化局,县（市）区,1,本科及以上学历,研究生专业：国际贸易学（020206），国际商务（0254），动力工程及工程热物理（0807），能源动力（0858）；本科专业：经济与贸易类（0204），能源动力类（0805）,"《申论》（县乡综合管理类）,《行政职业能力测验》",是,年龄38周岁以下（博士研究生43周岁以下）,0795-5221768,
250050201010,综合管理岗（三）,抚州市南城县发展和改革委员会,县（市）区,1,本科及以上学历,研究生专业：理论经济学（0201），应用经济学（0202），金融（0251），应用统计（0252），税务（0253），国际商务（0254），资产评估（0256），数字经济（0258），统计学（0270），汉语国际教育（045174），国际中文教育（0453），中国语言文学（0501），统计学（0714）；本科专业：经济学类（0201），金融学类（0203），经济与贸易类（0204），中国语言文学类（0501），统计学类（0712）,"《申论》（县乡综合管理类）,《行政职业能力测验》",否,年龄38周岁以下（博士研究生43周岁以下）,0794-7238015,
250060201017,综合管理岗（一）,抚州市黎川县中田乡,乡镇,1,本科及以上学历,研究生专业：理论经济学（0201），应用经济学（0202），应用统计（0252），国际商务（0254），数字经济（0258），统计学（0270），统计学（0714）；本科专业：经济学类（0201），经济与贸易类（0204）,"《申论》（县乡综合管理类）,《行政职业能力测验》",否,年龄38周岁以下（博士研究生43周岁以下）,0794-7566857,
250060201039,综合管理岗（二）,抚州市黎川县供销合作社联合社,县（市）区,1,本科及以上学历,研究生专业：国际贸易学（020206），国际商务（0254），法学（0301），纪检监察学（0308），法律（0351），知识产权（0354），国家安全学（0370），新闻传播学（0503），新闻与传播（0552），出版（0553），计算机科学与技术（0775），营养与食品卫生学（077903），智能科学与技术（0788），计算机科学与技术（0812），食品科学与工程（0832），软件工程（0835），网络空间安全（0839），电子信息（0854），食品工程（086003），国家安全学（0874），智能科学与技术（0876），食品加工与安全（095135），食品与营养（0955），食品科学与工程（0972），营养与食品卫生学（100403），国家安全学（1170），国家安全学（1271），国家安全学（1402），智能科学与技术（1405）；本科专业：经济与贸易类（0204），法学类（0301），新闻传播学类（0503），计算机类（0809），食品科学与工程类（0827）,"《申论》（县乡综合管理类）,《行政职业能力测验》",否,年龄38周岁以下（博士研究生43周岁以下）,0794-7566857,
250060201003,综合管理岗（一）,抚州市黎川县德胜镇,乡镇,1,本科及以上学历,研究生专业：理论经济学（0201），应用经济学（0202），应用统计（0252），国际商务（0254），资产评估（0256），数字经济（0258），统计学（0270），统计学（0714），工商管理学（1202），工商管理（1251），会计（1253），审计（1257）；本科专业：经济学类（0201），经济与贸易类（0204），工商管理类（1202）,"《申论》（县乡综合管理类）,《行政职业能力测验》",否,年龄38周岁以下（博士研究生43周岁以下）,0794-7566857,
250060201016,综合管理岗,抚州市黎川县西城乡,乡镇,1,本科及以上学历,研究生专业：国际贸易学（020206），国际商务（0254），计算机科学与技术（0775），智能科学与技术（0788），机械工程（0802），计算机科学与技术（0812），土木工程（0814），农业工程（0828），软件工程（0835），网络空间安全（0839），电子信息（0854），机械（0855），土木工程（085901），智能科学与技术（0876），农业（0951），智能科学与技术（1405）；本科专业：经济与贸易类（0204），机械类（0802），计算机类（0809），土木类（0810），农业工程类（0823）,"《申论》（县乡综合管理类）,《行政职业能力测验》",是,年龄38周岁以下（博士研究生43周岁以下）,0794-7566857,
250070201027,综合管理岗,抚州市南丰县工业和信息化局,县（市）区,1,本科及以上学历,研究生专业：国际贸易学（020206），国际商务（0254），电子信息（0854）；本科专业：国际经济与贸易（020401），电子信息工程（080701），光电信息科学与工程（080705）,"《申论》（县乡综合管理类）,《行政职业能力测验》",是,年龄38周岁以下（博士研究生43周岁以下）,0794-3226065,
250080201045,综合管理岗（二）,江西崇仁高新技术产业园区管理委员会,县（市）区,1,本科及以上学历,研究生专业：理论经济学（0201），应用经济学（0202），应用统计（0252），国际商务（0254），数字经济（0258），统计学（0270），统计学（0714）；本科专业：经济学类（0201），经济与贸易类（0204），统计学类（0712）,"《申论》（县乡综合管理类）,《行政职业能力测验》",是,年龄38周岁以下（博士研究生43周岁以下）,0794-6319083,
250090201008,综合管理岗,抚州市乐安县发展和改革委员会,县（市）区,1,研究生,研究生专业：国际贸易学（020206），国际商务（0254），计算机科学与技术（0775），智能科学与技术（0788），计算机科学与技术（0812），土木工程（0814），软件工程（0835），网络空间安全（0839），电子信息（0854），土木水利（0859），智能科学与技术（0876），智能科学与技术（1405）,"《申论》（县乡综合管理类）,《行政职业能力测验》",是,年龄38周岁以下（博士研究生43周岁以下）,0794-6665820,
250090201013,综合管理岗（二）,抚州市乐安县市场监督管理局,县（市）区,1,本科及以上学历,研究生专业：应用经济学（0202），国际商务（0254），资产评估（0256），集成电路科学与工程（0770），电子科学与技术（0774），光学工程（0803），电子科学与技术（0809），信息与通信工程（0810），电子信息（0854），集成电路科学与工程（0873），工商管理学（1202），工商管理（1251），会计（1253），审计（1257），集成电路科学与工程（1401）；本科专业：经济与贸易类（0204），电子信息类（0807），工商管理类（1202）,"《申论》（县乡综合管理类）,《行政职业能力测验》",否,年龄38周岁以下（博士研究生43周岁以下）,0794-6665820,
250090201015,综合管理岗（四）,抚州市乐安县市场监督管理局,县（市）区,1,本科及以上学历,研究生专业：应用经济学（0202），国际商务（0254），资产评估（0256），集成电路科学与工程（0770），电子科学与技术（0774），中药学（0781），光学工程（0803），电子科学与技术（0809），信息与通信工程（0810），电子信息（0854），集成电路科学与工程（0873），中药学（1008），中药（1056），工商管理学（1202），工商管理（1251），会计（1253），审计（1257），集成电路科学与工程（1401）；本科专业：经济与贸易类（0204），电子信息类（0807），中药学类（1008），工商管理类（1202）,"《申论》（县乡综合管理类）,《行政职业能力测验》",是,年龄38周岁以下（博士研究生43周岁以下）,0794-6665820,
250090201006,综合管理岗,抚州市乐安县统计局,县（市）区,1,本科及以上学历,研究生专业：国际贸易学（020206），统计学（020208），应用统计（0252），国际商务（0254），统计学（0270），统计学（0714），计算机科学与技术（0775），智能科学与技术（0788），计算机科学与技术（0812），软件工程（0835），网络空间安全（0839），电子信息（0854），智能科学与技术（0876），智能科学与技术（1405）；本科专业：经济与贸易类（0204），统计学类（0712），计算机类（0809）,"《申论》（县乡综合管理类）,《行政职业能力测验》",否,年龄38周岁以下（博士研究生43周岁以下）,0794-6665820,
250110201039,综合管理岗（一）,抚州市金溪县秀谷镇,乡镇,1,本科及以上学历,研究生专业：理论经济学（0201），应用经济学（0202），应用统计（0252），国际商务（0254），数字经济（0258），统计学（0270），统计学（0714），计算机科学与技术（0775），智能科学与技术（0788），计算机科学与技术（0812），软件工程（0835），网络空间安全（0839），电子信息（0854），智能科学与技术（0876），农学（09），管理学（12），智能科学与技术（1405）；本科专业：经济与贸易类（0204），统计学类（0712），计算机类（0809），农学（09），管理学（12）,"《申论》（县乡综合管理类）,《行政职业能力测验》",否,年龄38周岁以下（博士研究生43周岁以下）,0794-5397523,
230040201005,综合管理岗,上饶市信州区发展和改革委员会,县（市）区,1,本科及以上学历,研究生专业：理论经济学（0201），应用经济学（0202），应用统计（0252），国际商务（0254），数字经济（0258），统计学（0270），统计学（0714）；本科专业：经济学类（0201），经济与贸易类（0204）,"《申论》（县乡综合管理类）,《行政职业能力测验》",是,年龄38周岁以下（博士研究生43周岁以下）,0793-8222774,
230050201014,业务岗,上饶市广丰区工业和信息化局,县（市）区,1,本科及以上学历,研究生专业：理论经济学（0201），应用经济学（0202），应用统计（0252），国际商务（0254），资产评估（0256），数字经济（0258），统计学（0270），统计学（0714），集成电路科学与工程（0770），电子科学与技术（0774），计算机科学与技术（0775），智能科学与技术（0788），光学工程（0803），电子科学与技术（0809），信息与通信工程（0810），计算机科学与技术（0812），水声工程（082403），软件工程（0835），网络空间安全（0839），电子信息（0854），集成电路科学与工程（0873），智能科学与技术（0876），工商管理学（1202），工商管理（1251），会计（1253），审计（1257），集成电路科学与工程（1401），智能科学与技术（1405）；本科专业：经济学类（0201），经济与贸易类（0204），统计学类（0712），电子信息类（0807），计算机类（0809），工商管理类（1202）,"《申论》（县乡综合管理类）,《行政职业能力测验》",是,年龄38周岁以下（博士研究生43周岁以下）,0793-2637437,
230080602032,财务岗1,铅山县供销合作社联合社,县（市）区,1,本科及以上学历,研究生专业：理论经济学（0201），应用经济学（0202），应用统计（0252），国际商务（0254），资产评估（0256），数字经济（0258），统计学（0270），统计学（0714），工商管理学（1202），工商管理（1251），会计（1253），审计（1257）；本科专业：经济学类（0201），经济与贸易类（0204），工商管理类（1202）,"《申论》（县乡综合管理类）,《行政职业能力测验》,财经管理专业笔试",是,年龄38周岁以下（博士研究生43周岁以下）,0793-5331603,
230080602033,财务岗2,铅山县供销合作社联合社,县（市）区,1,本科及以上学历,研究生专业：理论经济学（0201），应用经济学（0202），应用统计（0252），国际商务（0254），资产评估（0256），数字经济（0258），统计学（0270），统计学（0714），工商管理学（1202），工商管理（1251），会计（1253），审计（1257）；本科专业：经济学类（0201），经济与贸易类（0204），工商管理类（1202）,"《申论》（县乡综合管理类）,《行政职业能力测验》,财经管理专业笔试",是,年龄38周岁以下（博士研究生43周岁以下）,0793-5331603,
230080201020,综合岗,铅山县发展和改革委员会,县（市）区,1,本科及以上学历,研究生专业：理论经济学（0201），应用经济学（0202），金融（0251），应用统计（0252），国际商务（0254），保险（0255），资产评估（0256），数字经济（0258），统计学（0270），汉语国际教育（045174），国际中文教育（0453），中国语言文学（0501），统计学（0714），环境科学与工程（0776），动力工程及工程热物理（0807），建筑学（0813），土木工程（0814），环境科学与工程（0830），城乡规划学（0833），建筑（0851），城乡规划（0853），环境工程（085701），能源动力（0858），土木工程（085901），风景园林（0862），环境科学与工程（0971）；本科专业：经济学类（0201），金融学类（0203），经济与贸易类（0204），中国语言文学类（0501），统计学类（0712），能源动力类（0805），土木类（0810），环境科学与工程类（0825），建筑类（0828）,"《申论》（县乡综合管理类）,《行政职业能力测验》",否,年龄38周岁以下（博士研究生43周岁以下）,0793-5331603,
230090201023,综合管理岗,横峰县岑阳镇,乡镇,1,本科及以上学历,研究生专业：国际贸易学（020206），国际商务（0254），资产评估（0256），马克思主义理论（0305），中共党史党建学（0307），计算机科学与技术（0775），智能科学与技术（0788），动力工程及工程热物理（0807），计算机科学与技术（0812），土木工程（0814），软件工程（0835），网络空间安全（0839），电子信息（0854），能源动力（0858），土木工程（085901），智能科学与技术（0876），林学（0907），农业（0951），林业（0954），工商管理学（1202），农林经济管理（1203），工商管理（1251），会计（1253），旅游管理（1254），审计（1257），智能科学与技术（1405）；本科专业：经济与贸易类（0204），马克思主义理论类（0305），能源动力类（0805），计算机类（0809），土木类（0810），林学类（0905），工商管理类（1202），农业经济管理类（1203），旅游管理类（1209）,"《申论》（县乡综合管理类）,《行政职业能力测验》",是,年龄38周岁以下（博士研究生43周岁以下）,0793-5793141,
230100201022,综合管理岗,弋阳县商务局,县（市）区,1,本科及以上学历,研究生专业：理论经济学（0201），应用经济学（0202），应用统计（0252），国际商务（0254），资产评估（0256），数字经济（0258），统计学（0270），统计学（0714），工商管理学（1202），工商管理（1251），会计（1253），审计（1257）；本科专业：经济学类（0201），经济与贸易类（0204），工商管理类（1202），电子商务类（1208）,"《申论》（县乡综合管理类）,《行政职业能力测验》",是,年龄38周岁以下（博士研究生43周岁以下）,0793-5821817,
230130201039,综合管理岗,鄱阳县饶州街道办事处,县（市）区,1,本科及以上学历,研究生专业：国际贸易学（020206），国际商务（0254），管理科学与工程（0871），农业（0951），管理科学与工程（1201），农林经济管理（1203），工程管理（1256）；本科专业：经济与贸易类（0204），管理科学与工程类（1201），农业经济管理类（1203）,"《申论》（县乡综合管理类）,《行政职业能力测验》",否,年龄38周岁以下（博士研究生43周岁以下）,0793-6669506,须在本市艰苦边远地区县乡机关最低服务5年。
230110201010,综合管理岗,万年县发展和改革委员会,县（市）区,1,本科及以上学历,研究生专业：理论经济学（0201），应用经济学（0202），应用统计（0252），国际商务（0254），数字经济（0258），统计学（0270），统计学（0714），管理科学与工程（0871），管理科学与工程（1201），工程管理（1256）；本科专业：经济学类（0201），经济与贸易类（0204），管理科学与工程类（1201）,"《申论》（县乡综合管理类）,《行政职业能力测验》",是,年龄38周岁以下（博士研究生43周岁以下）,0793-3859399,
